DISTRIBUTOR_SENDER_ID;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME;DISTRIBUTOR_ORDER_TAKING_BRANCH_ID;DISTRIBUTOR_SHIP_DATE;DISTRIBUTOR_INVOICE_DATE;DISTRIBUTOR_INVOICE_NUMBER;DISTRIBUTOR_INVOICE_LINE_ITEM;BILL_TO_CUSTOMER_DUNS_NUMBER;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER;BILL_TO_CUSTOMER_NAME;BILL_TO_CUSTOMER_BILLING_ADDRESS1;BILL_TO_CUSTOMER_BILLING_ADDRESS2;BILL_TO_CUSTOMER_CITY;BILL_TO_CUSTOMER_STATE;BILL_TO_CUSTOMER_ZIP;BILL_TO_CUSTOMER_COUNTRY;SHIP_TO_CUSTOMER_DUNS_NUMBER;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER;SHIP_TO_CUSTOMER_CUSTOMER_NAME;SHIP_TO_CUSTOMER_ADDRESS1;SHIP_TO_CUSTOMER_ADDRESS2;SHIP_TO_CUSTOMER_CITY;SHIP_TO_CUSTOMER_STATE;SHIP_TO_CUSTOMER_ZIP;SHIP_TO_CUSTOMER_COUNTRY;VENDOR_ITEM_NUMBER;VENDOR_ITEM_OPTIONS;ITEM_DESCRIPTION;PRODUCT_FAMILY;QUANTITY;QUANTITY_UNIT_OF_MEASURE;UNIT_REPLENISHMENT_COST;EXTENDED_REPLENISHMENT_COST;UNIT_COST;EXTENDED_COST_OF_GOODS_SOLD;COST_UNIT_OF_MEASURE;CURRENCY_CODE;REBATE_NUMBER;;;;;
Tea & Trade Ltd.;0;34;;2024-05-03;2f1b467f03876d9e13aca704abf8249b;1;0;0;BILL_TO_CUSTOMER_NAME 053;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 039;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 053;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 039;GB;3SU1401-1BB20-1AA0;0;0;0;4;0;0;0;3.74;14.96;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2024-01-02;2f2f438dacdd6c3bb1aaa0e0a2ac4c89;1;0;0;BILL_TO_CUSTOMER_NAME 053;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 039;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 053;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 039;GB;3RT2017-1BB41;0;0;0;1;0;0;0;22.27;22.27;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2024-01-02;2f45cdef50a52f03c4eaed390ae11cca;1;0;0;BILL_TO_CUSTOMER_NAME 048;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 010;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 048;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 010;GB;3SU1550-0AA10-0AA0;0;0;0;2;0;0;0;1.62;3.24;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-08-28;2f6ac0be32284154dcdbc0031f13b489;1;0;0;BILL_TO_CUSTOMER_NAME 030;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 033;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 030;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 033;GB;3SU1050-1HB20-0AA0;0;0;0;2;0;0;0;10.51;21.02;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2024-01-16;2f724130a2f304ebf2507755432e0d22;1;0;0;BILL_TO_CUSTOMER_NAME 030;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 033;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 030;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 033;GB;3SU1052-2BF60-0AA0;0;0;0;40;0;0;0;5.45;218;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2023-12-04;2f9fb36e1a35152c31245c94453b4757;1;0;0;BILL_TO_CUSTOMER_NAME 030;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 033;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 030;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 033;GB;3SU19000KH800AA0;0;0;0;40;0;0;0;4.04;161.6;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2023-12-04;2f9fb36e1a35152c31245c94453b4757;2;0;0;BILL_TO_CUSTOMER_NAME 030;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 033;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 030;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 033;GB;3SU19000KH800AA0;0;0;0;5;0;0;0;4.04;20.2;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-03-26;2fa3af9f304c39d595498329cdc0b900;1;0;0;BILL_TO_CUSTOMER_NAME 010;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 009;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 010;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 009;GB;5SY4110-7;0;0;0;1;0;0;0;10.05;10.05;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-07-17;2faee06c89625ec8b86d8b7fa97526d9;1;0;0;BILL_TO_CUSTOMER_NAME 048;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 010;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 048;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 010;GB;6EP3331-6SB00-0AY0;0;0;0;1;0;0;0;39;39;0;GBP;0;;;;;
Tea & Trade Ltd.;0;2;;2023-10-19;2fec6c483d8fd1c110ae8bb7dfa17c7c;1;0;0;BILL_TO_CUSTOMER_NAME 050;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 007;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 050;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 007;GB;3SU14011BB201AA0;0;0;0;1;0;0;0;3.68;3.68;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2024-01-31;30249c5fc2bab017db8b362c7aec2dbb;1;0;0;BILL_TO_CUSTOMER_NAME 010;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 009;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 010;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 009;GB;5SY4104-7;0;0;0;2;0;0;0;11.53;23.06;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2024-01-31;30249c5fc2bab017db8b362c7aec2dbb;2;0;0;BILL_TO_CUSTOMER_NAME 010;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 009;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 010;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 009;GB;5SY4104-7;0;0;0;1;0;0;0;11.53;11.53;0;GBP;0;;;;;
Tea & Trade Ltd.;0;2;;2023-10-02;3030dc21ae9498d65825d299e189dcb0;1;0;0;BILL_TO_CUSTOMER_NAME 052;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 052;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 052;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 052;GB;5SY42048;0;0;0;5;0;0;0;34.33;171.65;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-03-19;30370ec8ec9fedcad8775437a374bbd8;1;0;0;BILL_TO_CUSTOMER_NAME 027;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 020;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 027;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 020;GB;6SL32105BB175BV1;0;0;0;1;0;0;0;107.85;107.85;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2024-01-05;304c081bcf6cab329613ee01b8bb7c9d;1;0;0;BILL_TO_CUSTOMER_NAME 057;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 001;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 057;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 001;GB;3RU2916-3AA01;0;0;0;2;0;0;0;5.06;10.12;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-07-23;30899b5d3bbb565831d1fabf5aea2fef;1;0;0;BILL_TO_CUSTOMER_NAME 010;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 009;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 010;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 009;GB;5SU1356-7KK16;0;0;0;1;0;0;0;76.39;76.39;0;GBP;0;;;;;
Tea & Trade Ltd.;0;2;;2023-10-19;30ace961aa44eb6bffe3cc0166c3ad6c;1;0;0;BILL_TO_CUSTOMER_NAME 050;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 007;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 050;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 007;GB;3SU14001AA101CA0;0;0;0;3;0;0;0;2.29;6.87;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-08-13;30ae3b7a64f6f079416a06024db3e762;1;0;0;BILL_TO_CUSTOMER_NAME 028;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 032;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 028;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 032;GB;3RA6120-1DP32;0;0;0;1;0;0;0;240;240;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2023-12-05;30b9f87e7c5d9b7a13cad79c8a8645eb;1;0;0;BILL_TO_CUSTOMER_NAME 017;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 023;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 017;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 023;GB;3RH2911-1GA04;0;0;0;1;0;0;0;6.48;6.48;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-09-11;30c5b43bf5d9c5337c55506769687445;1;0;0;BILL_TO_CUSTOMER_NAME 003;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 027;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 003;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 027;GB;3SU1400-2AA10-1CA0;0;0;0;1;0;0;0;2.84;2.84;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-02-01;30ff34817b5ff714f1babab96f38c3bf;1;0;0;BILL_TO_CUSTOMER_NAME 052;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 052;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 052;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 052;GB;3KF3325-0MF51;0;0;0;1;0;0;0;311.2;311.2;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-02-20;311158f4f5bc5a8bdac631be10b0d596;1;0;0;BILL_TO_CUSTOMER_NAME 042;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 046;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 042;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 046;GB;3SU1401-1BF40-1AA0;0;0;0;1;0;0;0;6.28;6.28;0;GBP;0;;;;;
Tea & Trade Ltd.;0;2;;2023-10-31;312968c78e6d09f8d75a4177d5fc87a4;1;0;0;BILL_TO_CUSTOMER_NAME 002;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 038;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 002;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 038;GB;3ZY12122DA00;0;0;0;1;0;0;0;7.07;7.07;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-06-24;312b07e50f0268f122474a2429c107e4;1;0;0;BILL_TO_CUSTOMER_NAME 027;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 020;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 027;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 020;GB;3SU1050-1HB20-0AA0;0;0;0;1;0;0;0;10.51;10.51;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-03-12;31558e5ca36ea71c7aa6e479c3d79e1c;1;0;0;BILL_TO_CUSTOMER_NAME 053;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 039;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 053;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 039;GB;3SU1550-0AA10-0AA0;0;0;0;1;0;0;0;1.62;1.62;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-09-18;3156f0e1192eb7a0340dfa678deb3c3d;1;0;0;BILL_TO_CUSTOMER_NAME 017;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 023;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 017;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 023;GB;3SU1550-0AA10-0AA0;0;0;0;3;0;0;0;1.62;4.86;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2024-01-03;3162bc41f5fa81c925fc3095150b372e;1;0;0;BILL_TO_CUSTOMER_NAME 027;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 020;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 027;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 020;GB;3SU1550-0AA10-0AA0;0;0;0;4;0;0;0;1.62;6.48;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2024-01-05;31644722330584589443d382bcc530e7;1;0;0;BILL_TO_CUSTOMER_NAME 003;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 027;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 003;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 027;GB;3SU1050-0AB50-0AA0;0;0;0;10;0;0;0;2.95;29.5;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-06-11;3174afc5528ccebf021a1a38e4d52973;1;0;0;BILL_TO_CUSTOMER_NAME 030;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 033;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 030;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 033;GB;6EP33326SB000AY0;0;0;0;5;0;0;0;52;260;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2023-12-08;319dbc7956ed0432aab038ae5843e108;1;0;0;BILL_TO_CUSTOMER_NAME 032;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 009;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 032;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 009;GB;3SU1550-0AA10-0AA0;0;0;0;3;0;0;0;1.62;4.86;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-08-01;31af68f88f71f1431f14a420e7779983;1;0;0;BILL_TO_CUSTOMER_NAME 010;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 009;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 010;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 009;GB;5SY4110-7;0;0;0;7;0;0;0;10.23;71.61;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-08-15;31b07209e4222220870026ff214e4fec;1;0;0;BILL_TO_CUSTOMER_NAME 042;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 046;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 042;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 046;GB;3SU1052-2BL60-0AA0;0;0;0;2;0;0;0;5.45;10.9;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-07-24;31c27f341c69b7527500553675937ada;1;0;0;BILL_TO_CUSTOMER_NAME 019;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 014;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 019;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 014;GB;3RU2116-1AB0;0;0;0;1;0;0;0;21.47;21.47;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-09-26;31e389f2361807544a18865dcaa72d13;1;0;0;BILL_TO_CUSTOMER_NAME 019;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 014;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 019;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 014;GB;3RT2027-1AB00;0;0;0;1;0;0;0;52.04;52.04;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2023-12-19;3216587bc7284a064dee651e3cb3bbb8;1;0;0;BILL_TO_CUSTOMER_NAME 030;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 033;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 030;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 033;GB;3SU1550-0AA10-0AA0;0;0;0;80;0;0;0;1.62;129.6;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-09-20;3216fc91a15b0c4c606d9f790cb056c0;1;0;0;BILL_TO_CUSTOMER_NAME 027;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 020;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 027;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 020;GB;3RT2017-1BB42;0;0;0;4;0;0;0;22.27;89.08;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-02-02;321c1ad99c9fd3ef67e213a4d8832f92;1;0;0;BILL_TO_CUSTOMER_NAME 048;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 010;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 048;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 010;GB;3RU2116-1EB0;0;0;0;4;0;0;0;21.47;85.88;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-09-30;32243db388cfb393b0538313c67b1224;1;0;0;BILL_TO_CUSTOMER_NAME 051;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 053;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 051;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 053;GB;3SU1401-1BB20-1AA0;0;0;0;2;0;0;0;3.74;7.48;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-04-30;325ecd31cdd6f720c96f9c433320dc85;1;0;0;BILL_TO_CUSTOMER_NAME 053;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 039;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 053;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 039;GB;3SU1550-0AA10-0AA0;0;0;0;9;0;0;0;1.62;14.58;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-07-23;3279f77ec0d57ba682856f2385a767bf;1;0;0;BILL_TO_CUSTOMER_NAME 023;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 045;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 023;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 045;GB;3SU1550-0AA10-0AA0;0;0;0;2;0;0;0;1.62;3.24;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-04-03;32f51bcb9856a99b35998e443654bfd9;1;0;0;BILL_TO_CUSTOMER_NAME 030;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 033;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 030;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 033;GB;3SU19000KH800AA0;0;0;0;10;0;0;0;4.04;40.4;0;GBP;0;;;;;
Tea & Trade Ltd.;0;22;;2023-11-03;33106c043ad97c179ca8f01a72cf84ce;1;0;0;BILL_TO_CUSTOMER_NAME 009;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 022;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 009;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 022;GB;3SU1050-0AB40-0AA0;0;0;0;1;0;0;0;2.9;2.9;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-03-26;331cc32f4afed5cf87b5f77898c48284;1;0;0;BILL_TO_CUSTOMER_NAME 010;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 009;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 010;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 009;GB;5SY4106-7;0;0;0;16;0;0;0;11.29;180.64;0;GBP;0;;;;;
